---- STUDY SUMMARY ----
Metric,Total,Mode_A,Mode_B
False_Acceptance_Rate (%),16.666666666666664,33.33333333333333,0.0
Correct_Rejection_Rate (%),83.33333333333334,66.66666666666666,100.0
Decision_Accuracy (%),60.0,60.0,60.0
Total Mines,6.0,3.0,3.0
Total Rows,30.0,15.0,15.0


---- DETAILED INTERACTION LOG ----
listing_id,decision,is_mine,mode,edited_value,old_value,edited_col_name,edited_row_index,ground_truth
1001,Delete,True,A,,,,,Keep
1002,Edit,False,A,N/A,2030,year_built,1.0,Delete
1003,Edit,False,A,2025,20225.0,year_built,2.0,Delete
1004,Delete,False,A,,,,,Delete
1005,Keep,True,A,,,,,Keep
1006,Delete,False,A,,,,,Delete
1007,Delete,False,A,,,,,Delete
1008,Edit,False,A,N/A,2,total_floors,7.0,Delete
1009,Delete,False,A,,,,,Delete
1010,Delete,False,A,,,,,Delete
1011,Edit,False,A,N/A,1100.0,year_built,10.0,Delete
1012,Edit,False,A,N/A,5.0,total_floors,11.0,Delete
1013,Delete,False,A,,,,,Delete
1014,Delete,False,A,,,,,Delete
1015,Edit,True,A,TRUE,yes,has_elevator,14.0,Edit
1016,Keep,True,B,,,,,Keep
1017,Edit,False,B,N/A,0.0,total_floors,16.0,Delete
1018,Keep,True,B,,,,,Keep
1019,Delete,False,B,,,,,Delete
1020,Delete,False,B,,,,,Delete
1021,Edit,False,B,N/A,1800.0,year_built,20.0,Delete
1022,Edit,False,B,N/A,1850.0,year_built,21.0,Delete
1023,Delete,False,B,,,,,Delete
1024,Delete,False,B,,,,,Delete
1025,Delete,False,B,,,,,Delete
1026,Edit,False,B,N/A,6.0,total_floors,25.0,Delete
1027,Edit,False,B,N/A,1000.0,year_built,26.0,Delete
1028,Edit,False,B,N/A,4.0,total_floors,27.0,Delete
1029,Delete,False,B,,,,,Delete
1030,Edit,True,B,TRUE,yes,has_elevator,29.0,Edit
